,0,1
153,UH 2554,4.0
154,UH 2834,4.0
148,STS 3284,3.96
7,ARBC 3474,3.94
5,ARBC 2774,3.87
127,RUS 3424,3.835
103,PHIL 4884,3.82
140,STL 4324,3.7925
6,ARBC 3304,3.785
47,HD 1134,3.76
145,STS 2444,3.73
137,SPAN 3484,3.713846153846154
152,TA 2024,3.702090395480226
138,SPAN 3514,3.70125
86,MUS 3164,3.7
130,SPAN 2754,3.6875
62,HIST 2276,3.68
31,ENGL 1644,3.6789655172413793
42,FREC 2554,3.6766666666666654
146,STS 2454,3.675
136,SPAN 3474,3.648333333333333
149,STS 3314,3.63741935483871
115,RLCL 2324,3.63
124,RUS 2734,3.623333333333333
74,HIST 3714,3.613333333333333
144,STS 2254,3.606666666666667
30,ENGL 1634,3.6043037974683543
4,APS 1704,3.6001086956521737
120,RLCL 3024,3.5933333333333337
94,PHIL 2894,3.588
122,RLCL 3224,3.583333333333333
155,WGS 1824,3.5744
156,WGS 2204,3.57
59,HIST 2114,3.565
41,FR 3314,3.5647058823529414
10,ART 1104,3.552222222222222
119,RLCL 2504,3.55
104,PSCI 2894,3.55
133,SPAN 3414,3.546388888888889
24,CLA 2434,3.54
131,SPAN 3304,3.5345454545454547
125,RUS 3304,3.533333333333333
34,ENGL 1704,3.526666666666667
77,HUM 1704,3.5220481927710843
147,STS 2604,3.508
135,SPAN 3464,3.502222222222222
39,ENGL 4164,3.5
32,ENGL 1654,3.495555555555556
63,HIST 2604,3.4918181818181817
123,RLCL 3414,3.47
58,HIST 2104,3.4647058823529413
139,SPAN 3534,3.4616666666666664
37,ENGL 3534,3.450425531914893
33,ENGL 1664,3.45
83,MGT 4324,3.45
126,RUS 3314,3.4475
75,HTM 3484,3.4452
132,SPAN 3404,3.4314814814814816
70,HIST 3544,3.429411764705882
113,RLCL 1904,3.427826086956522
78,HUM 2504,3.420555555555556
150,STS 3334,3.415
107,RLCL 1004,3.4066666666666663
40,FR 2714,3.405
142,STS 2054,3.4026666666666667
56,HIST 1354,3.4
151,TA 2014,3.3845
118,RLCL 2444,3.3776923076923078
60,HIST 2124,3.3775
23,CLA 1134,3.377058823529412
68,HIST 3164,3.37
21,ART 3674,3.37
134,SPAN 3444,3.3680952380952385
112,RLCL 1214,3.3625000000000003
93,PHIL 2304,3.361335740072202
26,ECON 2894,3.36
55,HIST 1216,3.36
96,PHIL 3024,3.355
100,PHIL 4304,3.35
111,RLCL 1134,3.348
79,JUD 2134,3.3466666666666667
128,SOC 2604,3.345
0,AFST 1814,3.3421568627450977
15,ART 3174,3.3375
17,ART 3284,3.328333333333333
98,PHIL 3414,3.3280000000000003
114,RLCL 2124,3.325714285714286
143,STS 2154,3.31875
54,HIST 1215,3.3058333333333336
64,HIST 3054,3.3057142857142856
36,ENGL 3024,3.3016666666666663
19,ART 3484,3.2983333333333333
121,RLCL 3214,3.2925
28,ENGL 1614,3.2924324324324323
109,RLCL 1034,3.2889473684210526
84,MUS 2115,3.2852941176470587
25,CLA 2444,3.2752564102564103
82,LAR 4034,3.2675
129,SPAN 2744,3.26
57,HIST 2054,3.257409638554217
1,AFST 2204,3.255
13,ART 3064,3.254
108,RLCL 1024,3.250454545454545
76,HUM 1324,3.2413793103448274
27,ENGL 1604,3.2373076923076924
49,HIST 1024,3.2351612903225804
67,HIST 3144,3.2326315789473683
73,HIST 3654,3.232142857142857
110,RLCL 1044,3.232
46,GER 3474,3.216666666666667
72,HIST 3564,3.215
141,STS 1504,3.214710743801653
29,ENGL 1624,3.2125714285714286
48,HIST 1014,3.21
16,ART 3184,3.1975
14,ART 3074,3.1933333333333334
35,ENGL 2444,3.18468085106383
85,MUS 2116,3.173529411764706
61,HIST 2275,3.1733333333333333
66,HIST 3124,3.162
106,PSCI 3016,3.1536904761904765
116,RLCL 2414,3.148
20,ART 3584,3.146
53,HIST 1116,3.132941176470588
102,PHIL 4334,3.1294444444444443
92,PHIL 2126,3.125294117647059
99,PHIL 3454,3.111428571428572
9,ARCH 3116,3.1110526315789477
2,AFST 2275,3.11
45,GER 3306,3.1035714285714286
71,HIST 3554,3.1025
18,ART 3384,3.1
97,PHIL 3314,3.091666666666667
105,PSCI 3015,3.0900000000000003
3,AFST 2276,3.08
52,HIST 1115,3.0662000000000003
88,PHIL 1304,3.054125475285171
44,GER 3305,3.051
81,LAR 2554,3.05
80,JUD 2414,3.0425
8,ARCH 3115,3.0204166666666663
87,PHIL 1204,3.013637992831541
50,HIST 1025,3.007090909090909
11,ART 2385,3.004642857142857
117,RLCL 2424,2.997
51,HIST 1026,2.994727272727273
90,PHIL 2116,2.987647058823529
69,HIST 3304,2.9635714285714285
89,PHIL 2115,2.957826086956522
101,PHIL 4324,2.93
12,ART 2386,2.88625
65,HIST 3114,2.78
91,PHIL 2125,2.7717391304347827
43,GER 2724,2.74
95,PHIL 3015,2.71
38,ENGL 3694,2.62
22,CINE 2054,2.557857142857143
